SHOP_URL,GOODS_NAME,GOODS_URL,SHOP_NAME,COMPANY_NAME,COMPANY_ADDRESS,GOODS_PRICE
//rate.taobao.com/user-rate-UvCILMmIWvFk0MgTT.htm,LRUD牛仔裤女2017夏装新款韩版女装高腰显瘦牛仔短裤宽松直筒热裤,http://detail.tmall.com/item.htm?id=45085729221&skuId=84346065133&user_id=2264201946&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,lrud旗舰店,,"广东,  广州",58.00
//rate.taobao.com/user-rate-UvCNuvCvyOmQ4OQTT.htm,牛仔短裤女夏新款破洞网格拼接显瘦毛边高腰短裤女白色阔腿热裤潮,http://detail.tmall.com/item.htm?id=546935977008&skuId=3309105577409&user_id=2072328489&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,美诗洛兰旗舰店,,"广东,  东莞",49.00
//rate.taobao.com/user-rate-UOmNGvGx4vCx4.htm,【Angelababy】衣品天成2017夏新款短袖条纹T恤女宽松体恤打底衫,http://detail.tmall.com/item.htm?id=528967369158&skuId=3411393253700&user_id=803368268&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,衣品天成女装旗舰店,,"浙江,  杭州",69.00
//rate.taobao.com/user-rate-UvCxGOmHuOF8u.htm,韩都衣舍2017韩版女装夏装新款宽松显瘦刺绣圆领短袖T恤KY7942湲,http://detail.tmall.com/item.htm?id=545664351639&skuId=3293075676893&user_id=263817957&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,韩都衣舍旗舰店,,"山东,  济南",68.00
//rate.taobao.com/user-rate-UvG8LvmxWvGvW.htm,ONLY2017夏装新款复古高腰卷边百搭牛仔短裤女|117143503,http://detail.tmall.com/item.htm?id=546777046259&skuId=3306590612594&user_id=356060330&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,only官方旗舰店,,天津,174.50
//rate.taobao.com/user-rate-UvFx0vCk0OmgLvWTT.htm,胖mm新款宽松短袖大码女装中长款夏装2017新款t恤女夏季女士上衣,http://detail.tmall.com/item.htm?id=535827490539&skuId=3197507098044&user_id=1642948863&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,芳妮诗旗舰店,,"广东省,  东莞市",68.00
//rate.taobao.com/user-rate-UvFx0OmkWvFxSMgTT.htm,婕尚特韩版新款雪纺阔腿裤女夏高腰九分休闲裤薄款开叉裤子女修身,http://detail.tmall.com/item.htm?id=531999382109&skuId=3205455091198&user_id=1648901696&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,婕尚特旗舰店,,"湖北,  武汉",69.00
//rate.taobao.com/user-rate-UvGNuvF8WvFvLMNTT.htm,t恤女短袖2017新款纯棉宽松学生百搭刺绣bf原宿风上衣女夏季韩版,http://detail.tmall.com/item.htm?id=552641384183&skuId=4611686571068772087&user_id=3071501364&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,仙奴娜旗舰店,,,59.00
//rate.taobao.com/user-rate-UvFcLMCN0MGkWMWTT.htm,2017夏装女装新款韩版潮宽松学生破洞T恤中长款百搭中长袖体恤裙,http://detail.tmall.com/item.htm?id=550119338410&skuId=3513958810919&user_id=1766047907&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,戚米旗舰店,,"浙江省,  嘉兴市",65.00
//rate.taobao.com/user-rate-UvCILvmILvCkLMgTT.htm,运动裤女薄款2017夏季新款两条杠白边小脚裤子宽松休闲九分哈伦裤,http://detail.tmall.com/item.htm?id=552619325443&skuId=3552555130869&user_id=2260262966&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,梦幻魅力旗舰店,,"河南,  郑州",59.00
//rate.taobao.com/user-rate-UvGNLMCxGvFI0vNTT.htm,中老年妈妈装夏装套装中老年女装t恤上衣服+裤子老年人两件套新品,http://detail.tmall.com/item.htm?id=549402981873&skuId=3340344457726&user_id=3066631240&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,夕牧旗舰店,,,79.00
//rate.taobao.com/user-rate-UMGxYMCcSMFI0.htm,初语女夏装2017新款黑色圆领字母印花刺绣短袖T恤女宽松体恤女潮,http://detail.tmall.com/item.htm?id=543578502026&skuId=3435623095512&user_id=761679524&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,初语旗舰店,,"广东,  广州",98.00
//rate.taobao.com/user-rate-UvCguMFIYMCg0vWTT.htm,遮肚子雪纺衫女衬衫2017新款宽松蝙蝠衫百搭七分袖衬衣心机上衣夏,http://detail.tmall.com/item.htm?id=547466523792&skuId=3315319885117&user_id=2875216843&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,布草行旗舰店,"广东,  深圳",,59.00
//rate.taobao.com/user-rate-UvGNGOFxSvmNYvQTT.htm,夏季薄款新款高腰八分裤毛边九分微喇牛仔裤女显瘦黑色9分喇叭裤,http://detail.tmall.com/item.htm?id=550886627662&skuId=3525085011088&user_id=3039690011&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,蒙奴莎旗舰店,,,79.00
//rate.taobao.com/user-rate-UvCk0OmNYOFQbOQTT.htm,背带裙女两件套装裙2017夏季新款女装中长款大码吊带连衣裙小清新,http://detail.tmall.com/item.htm?id=549151371745&skuId=3336208033634&user_id=2948019459&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,米夏什旗舰店,,,69.00
//rate.taobao.com/user-rate-UvFc4OF80vmkYvNTT.htm,2017春装新款韩版印花衬衫女长袖短袖雪纺衫夏短款衬衣百搭上衣寸,http://detail.tmall.com/item.htm?id=537603136094&skuId=3209980065714&user_id=1789540910&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,名诺儿旗舰店,,"福建省,  泉州市",59.00
//rate.taobao.com/user-rate-UvGN4vCkSvG8YvNTT.htm,棉麻裤子女九分裤宽松紧腰亚麻女裤休闲裤长裤大码哈伦裤小脚裤夏,http://detail.tmall.com/item.htm?id=546247643065&skuId=3300254077855&user_id=3082993510&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,奇艳旗舰店,,,69.00
//rate.taobao.com/user-rate-UvGHSvFkGOFIWMgTT.htm,雪纺哈伦裤女2017新款夏季韩版西装女裤宽松高腰休闲阔腿九分裤子,http://detail.tmall.com/item.htm?id=546809171713&skuId=3471201763051&user_id=3191939206&cat_id=50025135&is_b=1&rn=48ee6fe027c04a095c1c4c9dd76dd91c,羽念旗舰店,,,68.00
